136 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 147ms 0.147s
156 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 15ms 0.15s
156 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
156 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
188 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 31ms 0.31s
189 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
131 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 134ms 0.134s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 10ms 0.10s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
187 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 37ms 0.37s
187 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
138 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 142ms 0.142s
156 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 13ms 0.13s
156 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
156 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
198 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 41ms 0.41s
198 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
171 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 175ms 0.175s
185 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 11ms 0.11s
186 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 1ms 0.1s
187 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
233 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 46ms 0.46s
234 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
176 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 181ms 0.181s
194 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 15ms 0.15s
194 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
195 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
236 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 41ms 0.41s
237 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
121 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 126ms 0.126s
137 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 13ms 0.13s
138 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 1ms 0.1s
138 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
171 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 33ms 0.33s
171 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
135 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 138ms 0.138s
148 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 10ms 0.10s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
182 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 33ms 0.33s
182 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
129 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 134ms 0.134s
143 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 11ms 0.11s
143 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
143 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
182 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 38ms 0.38s
183 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
135 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 138ms 0.138s
148 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 11ms 0.11s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
149 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
185 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 36ms 0.36s
186 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
139 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Reverse 143ms 0.143s
152 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Random 10ms 0.10s
152 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Empty 0ms 0.0s
152 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Null 0ms 0.0s
188 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Unordered 35ms 0.35s
189 [main] INFO com.alexander.examples.design.sorting.InsertionSortTest  - Single 0ms 0.0s
